collectID,collectName,collectYear,collectType,collectLevel,collectTexture,detailSize,num,source,museum
66,现代周士观草书毛主席诗词《水调歌头重上井岗山》、《念奴娇鸟儿问答》二首立轴,中华人民共和国,书法、绘画,三级,纸,纵130横65,1,接受捐赠,辽宁博物馆
67,现代费新我行书毛泽东“昆仑”轴,中华人民共和国,书法、绘画,三级,纸,纵104.5横41.5,1,征集购买,辽宁博物馆
68,现代反黄刻山水花鸟六稜瓶,中华人民共和国,竹木雕,二级,木,（1）高20.2 口径7.3 腹径9.2 底径6.9 （2）高20 口径7.4 腹径9.2 底径7,2,征集购买,辽宁博物馆
69,现代周士观草书毛主席诗词《水调歌头重上井岗山》一首立轴,中华人民共和国,书法、绘画,三级,纸,纵89横48.2,1,接受捐赠,辽宁博物馆
70,现代程十发设色人物轴,中华人民共和国,书法、绘画,三级,纸,纵103.5横69.7,1,征集购买,辽宁博物馆
71,现代王个簃篆书毛泽东“黄鹤楼”轴,中华人民共和国,书法、绘画,三级,纸,纵136横68,1,征集购买,辽宁博物馆
72,民国颜伯龙美人蕉猫石图轴,中华人民共和国,书法、绘画,三级,纸,纵98.7 横33.2,1,征集购买,辽宁博物馆
73,现代周士观草书临怀素《送酒帖》立轴,中华人民共和国,书法、绘画,三级,纸,纵131横65.5,1,接受捐赠,辽宁博物馆
74,现代宋文治设色山水,中华人民共和国,书法、绘画,三级,纸,nan,5,征集购买,辽宁博物馆
75,现代谢稚柳行书毛泽东“昆仑”轴,中华人民共和国,书法、绘画,三级,纸,纵166横47.8,1,征集购买,辽宁博物馆
76,现代周士观草书临怀素自叙一节立轴,中华人民共和国,书法、绘画,三级,纸,纵139横69.5,1,接受捐赠,辽宁博物馆
77,现代白雪石设色山水,中华人民共和国,书法、绘画,三级,纸,nan,6,征集购买,辽宁博物馆
78,现代叶恭绰行书毛泽东“沁园春雪”轴,中华人民共和国,书法、绘画,三级,纸,纵171.5横93.5,1,征集购买,辽宁博物馆
79,现代丰子恺春日游图轴,中华人民共和国,书法、绘画,三级,纸,纵68横33.5,1,征集购买,辽宁博物馆
80,现代杨之光首都儿童看电视图轴,中华人民共和国,书法、绘画,三级,纸,纵59.3 横49.5,1,征集购买,辽宁博物馆
81,现代周士观草书临书谱一节横幅,中华人民共和国,书法、绘画,三级,纸,纵69横137,1,接受捐赠,辽宁博物馆
82,现代宋吟可设色人物,中华人民共和国,书法、绘画,三级,纸,nan,3,征集购买,辽宁博物馆
83,现代叶恭绰行书毛泽东“蝶恋花”横幅,中华人民共和国,书法、绘画,三级,纸,纵48横68,1,征集购买,辽宁博物馆
84,现代萧俊贤陈年合作梅花图轴,中华人民共和国,书法、绘画,三级,纸,纵104横48,1,征集购买,辽宁博物馆
85,现代李苦禅葡萄公鸡立幅,中华人民共和国,书法、绘画,二级,纸,高131 宽64,1,征集购买,辽宁博物馆
86,现代李苦禅花鸟册,中华人民共和国,书法、绘画,三级,纸,纵42 横47.7,12,征集购买,辽宁博物馆
87,现代罗复堪鞠部杂谈手稿卷,中华人民共和国,名人遗物,二级,纸,书心 长209.5 高24.4 、28.6,1,征集购买,辽宁博物馆
88,现代周士观草书为新会废物利用展览馆题七言诗二首立轴,中华人民共和国,书法、绘画,三级,纸,纵138.5横69,1,接受捐赠,辽宁博物馆
89,现代关良设色孙悟空轴,中华人民共和国,书法、绘画,三级,纸,纵69.6横56,1,征集购买,辽宁博物馆
90,现代叶恭绰行书毛泽东“井冈山”轴,中华人民共和国,书法、绘画,三级,纸,纵65横69.5,1,征集购买,辽宁博物馆
91,现代赵少昂花鸟图轴,中华人民共和国,书法、绘画,三级,纸,纵68横33,1,征集购买,辽宁博物馆
92,现代周铁衡设色花鸟图轴,中华人民共和国,书法、绘画,三级,纸,纵135横34,1,征集购买,辽宁博物馆
93,现代周士观草书轴,中华人民共和国,书法、绘画,三级,纸,纵130横65,1,接受捐赠,辽宁博物馆
94,现代李苦禅水墨兰雀图横幅,中华人民共和国,书法、绘画,三级,纸,纵33横59,1,征集购买,辽宁博物馆
95,现代叶恭绰行书毛泽东“北戴河”轴,中华人民共和国,书法、绘画,三级,纸,纵67横67,1,征集购买,辽宁博物馆
96,现代李可染山水图轴,中华人民共和国,书法、绘画,三级,纸,纵95 横33.9,1,旧藏,辽宁博物馆
97,现代王传涛山水立幅,中华人民共和国,书法、绘画,二级,纸,高88.5 宽46.9,1,征集购买,辽宁博物馆
98,现代康生书札页,中华人民共和国,书法、绘画,三级,纸,纵31  横19,2,接受捐赠,辽宁博物馆
99,现代周士观篆书轴,中华人民共和国,书法、绘画,三级,纸,纵130横65,1,接受捐赠,辽宁博物馆
100,现代宋振庭设色花卉,中华人民共和国,书法、绘画,三级,纸,nan,3,接受捐赠,辽宁博物馆
101,现代叶恭绰行书毛泽东“大拍地”轴,中华人民共和国,书法、绘画,三级,纸,纵106.8横35,1,征集购买,辽宁博物馆
102,现代曹克家耄耋图轴,中华人民共和国,书法、绘画,三级,纸,纵89横32,1,征集购买,辽宁博物馆
103,现代徐悲鸿飞鹰图轴,中华人民共和国,书法、绘画,三级,纸,纵85.7 横29.4,1,旧藏,辽宁博物馆
104,现代李智超青绿山水立幅,中华人民共和国,书法、绘画,二级,纸,高121宽54.3,1,征集购买,辽宁博物馆
105,现代黄宾虹水鸟图轴,中华人民共和国,书法、绘画,二级,纸,纵48.4 横26.1,1,征集购买,辽宁博物馆
106,现代王个簃设色花卉图轴,中华人民共和国,书法、绘画,三级,纸,纵80横37,1,征集购买,辽宁博物馆
107,现代夏承焘行书毛主席诗词《浣溪沙和柳亚子先生》立轴,中华人民共和国,书法、绘画,三级,皮革,纵69横25,1,接受捐赠,辽宁博物馆
108,现代叶恭绰行书毛泽东“长征”轴,中华人民共和国,书法、绘画,三级,纸,纵178横68.5,1,征集购买,辽宁博物馆
109,现代谢稚柳竹蝶红叶图轴,中华人民共和国,书法、绘画,三级,纸,纵136.5横45.5,1,征集购买,辽宁博物馆
110,现代仿王震人物图轴,中华人民共和国,书法、绘画,三级,纸,纵107.3 横38.85,1,拨交,辽宁博物馆
111,现代王华南雪景山水轴,中华人民共和国,书法、绘画,三级,纸,纵77.4 横83.5,1,征集购买,辽宁博物馆
112,现代齐白石葡萄图轴,中华人民共和国,书法、绘画,二级,纸,纵68 横32.7,1,征集购买,辽宁博物馆
113,现代郁文华设色花鸟图轴,中华人民共和国,书法、绘画,三级,纸,纵83.5横43.5,1,征集购买,辽宁博物馆
114,现代夏承焘行书毛主席诗词《七绝为女民兵题照》立轴,中华人民共和国,书法、绘画,三级,纸,纵69横23.5,1,接受捐赠,辽宁博物馆
115,现代叶恭绰行书毛泽东“昆仑”横幅,中华人民共和国,书法、绘画,三级,纸,纵67.7横176.4,1,征集购买,辽宁博物馆
116,现代潘天寿鸟石图镜心,中华人民共和国,书法、绘画,三级,纸,纵27横47,1,征集购买,辽宁博物馆
117,现代摹辽阳北园汉墓车骑图壁画,中华人民共和国,书法、绘画,一般,纸,纵56.2 横105.4,2,采集,辽宁博物馆
118,现代刘旦宅新娘子出工图轴,中华人民共和国,书法、绘画,三级,纸,纵101.8 横51.7,1,征集购买,辽宁博物馆
119,现代周怀民十三陵水库图横幅,中华人民共和国,书法、绘画,三级,纸,纵131横311,1,征集购买,辽宁博物馆
120,现代马公愚菊花枇杷图轴,中华人民共和国,书法、绘画,三级,纸,纵90横52,1,征集购买,辽宁博物馆
121,现代夏承焘行书七言诗横幅,中华人民共和国,书法、绘画,三级,纸,纵27横69.5,1,接受捐赠,辽宁博物馆
122,现代叶恭绰行书毛泽东“重阳”轴,中华人民共和国,书法、绘画,三级,纸,纵106.5横35,1,征集购买,辽宁博物馆
123,现代黄胄雏鸡图镜心,中华人民共和国,书法、绘画,三级,纸,纵90横39.5,1,征集购买,辽宁博物馆
124,现代王叔晖晴雯补裘图轴,中华人民共和国,书法、绘画,三级,纸,纵66.5 横46.3,1,征集购买,辽宁博物馆
125,现代齐子如临八大山人花鸟册,中华人民共和国,书法、绘画,三级,纸,纵24.7-38.8 横24.7-38.8,21,征集购买,辽宁博物馆
126,现代周怀民十三陵水库工地图轴,中华人民共和国,书法、绘画,三级,纸,纵37.5横68,1,征集购买,辽宁博物馆
127,现代夏承焘行书七言春工诗一首立幅,中华人民共和国,书法、绘画,三级,纸,纵69横23.5,1,接受捐赠,辽宁博物馆
128,现代叶恭绰行书毛泽东“会昌”轴,中华人民共和国,书法、绘画,三级,纸,纵106.5横35,1,征集购买,辽宁博物馆
129,现代娄师白马耀华合作和平鸽图轴,中华人民共和国,书法、绘画,三级,纸,纵179.2 横94.7,1,征集购买,辽宁博物馆
130,现代齐白石文具遗物,中华人民共和国,文具,二级,"竹,毛,石",nan,17,征集购买,辽宁博物馆
131,现代周怀民密云水库工地图横幅,中华人民共和国,书法、绘画,三级,纸,纵37横95.5,1,征集购买,辽宁博物馆
132,现代夏承焘行书词一首横幅,中华人民共和国,书法、绘画,三级,纸,纵25横112,1,接受捐赠,辽宁博物馆
133,现代溥行书七言联,中华人民共和国,书法、绘画,三级,纸,纵128  横32.8,2,征集购买,辽宁博物馆
134,现代叶恭绰行书毛泽东“黄鹤楼”轴,中华人民共和国,书法、绘画,三级,纸,纵135.9横44.7,1,征集购买,辽宁博物馆
135,现代掐丝珐琅北京名胜瓶,中华人民共和国,珐琅器,三级,铜,"口径6.3,腹径10,高18.4",2,征集购买,辽宁博物馆
136,现代陆鸿年夕阳图轴,中华人民共和国,书法、绘画,三级,纸,纵61.6 横99.1,1,征集购买,辽宁博物馆
137,现代寿山石雕儿童与和平鸽,中华人民共和国,雕塑、造像,二级,宝玉石,高7.2,1,征集购买,辽宁博物馆
138,现代周怀民青铜峡工地图横幅,中华人民共和国,书法、绘画,三级,纸,纵39.5横102,1,征集购买,辽宁博物馆
139,现代夏承焘行书天安门国庆观礼作好事近词立轴,中华人民共和国,书法、绘画,三级,纸,纵69.6横21.5,1,接受捐赠,辽宁博物馆
140,现代王曼如指画松树轴,中华人民共和国,书法、绘画,三级,纸,纵118.4横66.3,1,接受捐赠,辽宁博物馆
141,现代叶恭绰行书毛泽东“六盘山”轴,中华人民共和国,书法、绘画,三级,纸,纵175.2横62,1,征集购买,辽宁博物馆
142,现刘单庵香笔画册,中华人民共和国,书法、绘画,三级,纸,纵18.3 横13.8,7,旧藏,辽宁博物馆
143,现代掐丝珐琅凫雁蒜头瓶,中华人民共和国,珐琅器,三级,铜,"口径5.8,腹径13.4,底径8.5,高20.2",2,征集购买,辽宁博物馆
144,现代颜地漓江写生山水立幅,中华人民共和国,书法、绘画,二级,纸,高46.1 宽69,1,征集购买,辽宁博物馆
145,现代寿山石雕子母羊,中华人民共和国,雕塑、造像,二级,宝玉石,高12.6,1,征集购买,辽宁博物馆
146,现代门神灶王印板,中华人民共和国,其他,三级,木,大小不一,8,采集,辽宁博物馆
147,现代乔木石榴小鸟图轴,中华人民共和国,书法、绘画,三级,纸,纵55横70,1,征集购买,辽宁博物馆
148,现代叶圣陶楷书浣溪沙二首立轴,中华人民共和国,书法、绘画,三级,纸,纵68横31,1,接受捐赠,辽宁博物馆
149,现代车向忱颂高其佩画展行书联,中华人民共和国,书法、绘画,三级,纸,纵120横33.8（上下联同）,2,接受捐赠,辽宁博物馆
150,现代叶恭绰行书毛泽东“游泳”横幅,中华人民共和国,书法、绘画,三级,纸,纵48横127.5,1,征集购买,辽宁博物馆
151,现代颜地漓江写生山水立幅,中华人民共和国,书法、绘画,二级,纸,高46.6 宽71.5,1,征集购买,辽宁博物馆
152,现代寿山石彫鹅,中华人民共和国,雕塑、造像,二级,宝玉石,高16.6,1,征集购买,辽宁博物馆
153,现代纸牌、骰子,中华人民共和国,其他,三级,"纸,骨角牙",长12 宽3.3,2,采集,辽宁博物馆
154,现代叶圣陶篆书毛主席诗词《采桑子重阳》轴,中华人民共和国,书法、绘画,三级,纸,纵100横44.5,1,接受捐赠,辽宁博物馆
155,现代叶恭绰行书毛泽东“从汀州向长沙”横幅,中华人民共和国,书法、绘画,三级,纸,纵127.5横45.6,1,征集购买,辽宁博物馆
156,现代马一浮行书谢诸友诗轴,中华人民共和国,书法、绘画,三级,纸,纵23.7横40.6,1,征集购买,辽宁博物馆
157,现代萨镇冰楷书轴,中华人民共和国,书法、绘画,三级,纸,纵78.2 横31.2,1,旧藏,辽宁博物馆
158,现代黄胄收获图轴,中华人民共和国,书法、绘画,二级,纸,纵76.3 横132,1,征集购买,辽宁博物馆
159,现代景德镇窑彩釉紫鹃送茶瓷塑,中华人民共和国,雕塑、造像,三级,瓷,高23.8,1,征集购买,辽宁博物馆
160,现代萨满神鼓,中华人民共和国,乐器、法器,三级,木,直径46,1,采集,辽宁博物馆
161,现代叶圣陶篆书集陶谢句五言联,中华人民共和国,书法、绘画,三级,纸,纵78横17,1,接受捐赠,辽宁博物馆
162,现代叶恭绰行书毛泽东“蒋桂战争”轴,中华人民共和国,书法、绘画,三级,纸,纵106.5横35,1,征集购买,辽宁博物馆
163,现代马衡隶书轴,中华人民共和国,书法、绘画,三级,纸,纵111.5横27.5,1,征集购买,辽宁博物馆
164,现代剔红牡丹长方盒,中华人民共和国,漆器,三级,木,"长15.4,宽10.3,高5.3",1,征集购买,辽宁博物馆
165,现代广绣牡丹孔雀立轴,中华人民共和国,织绣,二级,丝,"纵90,横48",1,征集购买,辽宁博物馆
166,现代于立群篆书毛主席诗词《沁园春雪》立轴,中华人民共和国,书法、绘画,三级,纸,nan,1,接受捐赠,辽宁博物馆
167,现代叶恭绰行书毛泽东“娄山关”轴,中华人民共和国,书法、绘画,三级,纸,纵88.6横44.6,1,征集购买,辽宁博物馆
168,现代高二适行草书七言唐诗轴,中华人民共和国,书法、绘画,三级,纸,纵62横32,1,征集购买,辽宁博物馆
169,现代摹辽阳三道壕第一号壁画墓壁画,中华人民共和国,书法、绘画,三级,纸,纵105 横48,7,采集,辽宁博物馆
170,现代剔红牡丹纹漆瓶,中华人民共和国,漆器,三级,"木,其他有机质","口径4.5,腹径8.6,底径15.5,高21.5",1,征集购买,辽宁博物馆
171,现代炼钢防热服,中华人民共和国,织绣,三级,"丝,棉麻纤维,玻璃",nan,1,采集,辽宁博物馆
172,现代于立群楷书“你办事，我放心”横幅,中华人民共和国,书法、绘画,三级,纸,纵68横270,1,接受捐赠,辽宁博物馆
173,现代叶恭绰行书毛泽东“元旦”轴,中华人民共和国,书法、绘画,三级,纸,纵106.5横35,1,征集购买,辽宁博物馆
174,现代于非厂设色玉兰成扇,中华人民共和国,书法、绘画,二级,"竹,纸",展开长50 高31.5,1,接受捐赠,辽宁博物馆
175,现代俞陛云设色山水折扇,中华人民共和国,书法、绘画,三级,"竹,纸,其他有机质",纵25横33,1,征集购买,辽宁博物馆
176,现代沈尹默行书高尔基忆列宁语轴,中华人民共和国,书法、绘画,三级,纸,纵74.7 横32.7,1,旧藏,辽宁博物馆
177,现代陈林斋、孙天牧合作摹唐宋元画页,中华人民共和国,书法、绘画,三级,纸,nan,14,采集,辽宁博物馆
178,现代剔红牡丹纹漆瓶,中华人民共和国,漆器,三级,"木,其他有机质","口径5.5,腹径10.8,底径15.8,高20.4",1,征集购买,辽宁博物馆
179,现代木斗、木升,中华人民共和国,度量衡器,三级,木,斗： 高30 口径27 底径43,2,采集,辽宁博物馆
180,现代齐燕铭行书毛主席语录立轴,中华人民共和国,书法、绘画,三级,纸,纵139横69.5,1,接受捐赠,辽宁博物馆
181,现代叶恭绰行书毛泽东“广昌路上”轴,中华人民共和国,书法、绘画,三级,纸,纵106.5横35,1,征集购买,辽宁博物馆
182,现代溥佐设色骑马人物成扇,中华人民共和国,书法、绘画,二级,"竹,纸",展开长50 高31.5,1,接受捐赠,辽宁博物馆
183,现代剔红菊花纹瓜式漆盒,中华人民共和国,漆器,三级,"木,其他有机质","口径15,底径11.1,高7.3",1,征集购买,辽宁博物馆
184,现代155公里榴弹炮弹,中华人民共和国,武器,三级,其他金属,高60.5 底径13.5 厚1.7,1,拨交,辽宁博物馆
185,现代葫芦形点种器,中华人民共和国,其他,三级,"木,棉麻纤维,其他植物质",全长68 宽18,1,采集,辽宁博物馆
186,现代沈雁冰行书毛主席诗词《水调歌头重上井岗山》立轴,中华人民共和国,书法、绘画,三级,纸,纵69横69,1,接受捐赠,辽宁博物馆
187,现代王方宇章草书急就章镜心(朱书),中华人民共和国,书法、绘画,三级,纸,nan,1,接受捐赠,辽宁博物馆
188,现代马晋设色奔马图成扇,中华人民共和国,书法、绘画,二级,"竹,纸",展开长50 高32,1,接受捐赠,辽宁博物馆
189,现代陈叔通行书诗轴,中华人民共和国,书法、绘画,二级,纸,纵127.8 横31.6,1,旧藏,辽宁博物馆
190,现代剔红牡丹纹圆漆盒,中华人民共和国,漆器,三级,"木,其他有机质","口径8.2,高9.6",1,征集购买,辽宁博物馆
191,现代时间引信,中华人民共和国,其他,三级,其他金属,1、高7.8 口径5.5,2,拨交,辽宁博物馆
192,现代坩埚,中华人民共和国,陶器,三级,陶,大的： 高45 底径24.5,3,采集,辽宁博物馆
193,现代沈雁冰行书《满江红》词立轴,中华人民共和国,书法、绘画,三级,纸,纵59.5横46.5,1,接受捐赠,辽宁博物馆
194,现代叶恭绰行书毛泽东“送瘟神”卷,中华人民共和国,书法、绘画,三级,纸,纵157.6横27.9,1,征集购买,辽宁博物馆
195,现代陈半丁设色杜鹃成扇,中华人民共和国,书法、绘画,二级,"竹,纸",展开长50 高31.5,1,接受捐赠,辽宁博物馆
196,现代嵌锡片车马纹绿漆瓶,中华人民共和国,漆器,三级,"木,其他金属","口径5.45,腹径10.6,底径7.3,高13.9",1,征集购买,辽宁博物馆
197,现代引信,中华人民共和国,其他,三级,其他金属,高8.9 径6.1,1,拨交,辽宁博物馆
198,现代大杆称,中华人民共和国,度量衡器,三级,"木,皮革,铜,其他无机质",长198,1,采集,辽宁博物馆
199,现代沈雁冰行书学习毛主席词二首后感赋立轴,中华人民共和国,书法、绘画,三级,纸,纵101横34,1,接受捐赠,辽宁博物馆
200,现代叶恭绰行书毛泽东渔家傲卷,中华人民共和国,书法、绘画,三级,纸,纵30.5横123.5,1,征集购买,辽宁博物馆
201,现代周元亮设色“烟峦雨霁”成扇,中华人民共和国,书法、绘画,二级,"竹,纸",展开长48 高32,1,接受捐赠,辽宁博物馆
202,现代李长志卉册,中华人民共和国,书法、绘画,三级,纸,纵32.2 横32.4,8,旧藏,辽宁博物馆
203,现代嵌锡填彩花卉纹黑漆瓶,中华人民共和国,漆器,三级,"棉麻纤维,其他有机质,其他金属","口径4.7,腹径14,底径14.2,高34.4",2,征集购买,辽宁博物馆
204,现代弹底引信,中华人民共和国,其他,三级,其他金属,1、高6.4 径6,2,拨交,辽宁博物馆
205,现代铁锄、铁镐、铁镰,中华人民共和国,铁器、其他金属器,三级,铁,1、长24.7 宽14.4,3,采集,辽宁博物馆
206,现代徐悲鸿行书轴,中华人民共和国,书法、绘画,三级,纸,纵130  横20.3,1,征集购买,辽宁博物馆
207,现代赵朴初行书七言诗立轴,中华人民共和国,书法、绘画,三级,纸,纵69横16,1,接受捐赠,辽宁博物馆
208,现代章士钊行书毛泽东诗词集卷,中华人民共和国,书法、绘画,三级,纸,纵27.7横446.8,1,接受捐赠,辽宁博物馆
209,现代萧愻水墨山水成扇,中华人民共和国,书法、绘画,二级,"竹,纸",展开长53 高32,1,接受捐赠,辽宁博物馆
210,现代金梁金文书轴,中华人民共和国,书法、绘画,三级,纸,纵99.9 横47.4,1,旧藏,辽宁博物馆
211,现代堆云龙纹绿漆烟具,中华人民共和国,漆器,三级,"木,其他有机质","盘长25.7,宽14.7,高1.4",3,征集购买,辽宁博物馆
212,现代碎弹片,中华人民共和国,武器,三级,其他金属,最大的   长28.5 宽8.5,13,拨交,辽宁博物馆
213,现代铁锄,中华人民共和国,铁器、其他金属器,三级,"木,铁",全高138 宽14.4,1,采集,辽宁博物馆
214,现代邱绶臣枇杷小鸟图轴,中华人民共和国,书法、绘画,三级,纸,纵68横40.5,1,征集购买,辽宁博物馆
215,现代陈大羽设色雄鸡立轴,中华人民共和国,书法、绘画,三级,纸,纵96横59.8,1,征集购买,辽宁博物馆
216,现代石鲁浅设色山水图轴,中华人民共和国,书法、绘画,三级,其他有机质,画心纵88横47.5,1,征集购买,辽宁博物馆
217,现代于立群楷书毛泽东七律轴,中华人民共和国,书法、绘画,三级,纸,纵127.3横58,1,接受捐赠,辽宁博物馆
218,现代日人涉山花卉轴,中华人民共和国,书法、绘画,三级,纸,纵124.3横36.1,1,征集购买,辽宁博物馆
219,现代溥佺等合作画轴,中华人民共和国,书法、绘画,三级,纸,纵69.9 横32.5,1,旧藏,辽宁博物馆
220,嵌锡条花卉纹黄漆盖罐,中华人民共和国,漆器,三级,"棉麻纤维,其他有机质,其他金属","口径8.35,腹径14.5,底径7,高17.3",1,征集购买,辽宁博物馆
221,现代木犁,中华人民共和国,其他,三级,木,全长142 全高120,1,采集,辽宁博物馆
222,现代陈大羽设色紫藤立轴,中华人民共和国,书法、绘画,三级,纸,纵96横59,1,征集购买,辽宁博物馆
223,现代臧克家行书毛泽东“咏梅”轴,中华人民共和国,书法、绘画,三级,纸,纵65.2横26.5,1,接受捐赠,辽宁博物馆
224,现代仿康有为行书轴,中华人民共和国,书法、绘画,三级,纸,纵110 横52,1,旧藏,辽宁博物馆
225,现代堆花绿漆盖罐,中华人民共和国,漆器,三级,"棉麻纤维,其他有机质","口径11.5,腹径15.3,底径9.1,高22.9",1,征集购买,辽宁博物馆
226,现代铁锹,中华人民共和国,铁器、其他金属器,三级,"木,铁",全长121 宽22,1,采集,辽宁博物馆
227,现代叶丰枇杷蝴蝶图轴,中华人民共和国,书法、绘画,三级,纸,纵83横37.5,1,征集购买,辽宁博物馆
228,现代陈大羽设色萄蟹立轴,中华人民共和国,书法、绘画,三级,纸,纵47.5横60,1,征集购买,辽宁博物馆
229,现代陈毅致王世民信页,中华人民共和国,书法、绘画,二级,纸,纵28.2，横20,1,接受捐赠,辽宁博物馆
230,现代周建人行书毛泽东“反第二次围剿”轴,中华人民共和国,书法、绘画,三级,纸,纵80.8横40.8,1,接受捐赠,辽宁博物馆
231,现代潘龄皋行书轴,中华人民共和国,书法、绘画,三级,纸,纵129.5横61,1,征集购买,辽宁博物馆
232,现代彩绘蝴蝶纹黑漆盘,中华人民共和国,漆器,三级,"棉麻纤维,其他有机质","口径18.2,底径13,高1.4",2,征集购买,辽宁博物馆
233,现代齐白石桃实图轴,中华人民共和国,书法、绘画,二级,纸,纵178.5 横58.4,1,征集购买,辽宁博物馆
234,现代朱屺瞻渔舟待潮图轴,中华人民共和国,书法、绘画,三级,纸,纵102横49,1,征集购买,辽宁博物馆
235,现代陈大羽设色荷花立轴,中华人民共和国,书法、绘画,二级,纸,nan,1,征集购买,辽宁博物馆
236,现代亚明芦塘孤舟图轴,中华人民共和国,书法、绘画,三级,纸,纵67.8，横67.8,1,接受捐赠,辽宁博物馆
237,现代陈叔通楷书毛泽东“元旦”轴,中华人民共和国,书法、绘画,三级,纸,纵88.2横40.7,1,接受捐赠,辽宁博物馆
238,现代王妙如山水轴,中华人民共和国,书法、绘画,三级,纸,纵106横33.4,1,征集购买,辽宁博物馆
239,现代嵌蛋壳梅花纹黑漆盘,中华人民共和国,漆器,三级,"棉麻纤维,其他有机质","口径26.9,底径14.2,高3.2",1,征集购买,辽宁博物馆
